# 引擎硬编码串翻译表 ja<TAB>zhCN（换行写作 \n）
いいえ	否
^1 AP will recover in 2:03 / AP will be fully recovered in 	距回复1 AP还有 2:03 / 距AP全部回复还有 
^1 AP will recover in 2:04 / AP will be fully recovered in 	距回复1 AP还有 2:04 / 距AP全部回复还有 
^1 AP will recover in 2:05 / AP will be fully recovered in 	距回复1 AP还有 2:05 / 距AP全部回复还有 
^1 AP will recover in 2:06 / AP will be fully recovered in 	距回复1 AP还有 2:06 / 距AP全部回复还有 
^1 AP will recover in 2:07 / AP will be fully recovered in 	距回复1 AP还有 2:07 / 距AP全部回复还有 
^1 AP will recover in 2:08 / AP will be fully recovered in 	距回复1 AP还有 2:08 / 距AP全部回复还有 
^1 AP will recover in 2:09 / AP will be fully recovered in 	距回复1 AP还有 2:09 / 距AP全部回复还有 
^1 AP will recover in 2:10 / AP will be fully recovered in 	距回复1 AP还有 2:10 / 距AP全部回复还有 
^1 AP will recover in 2:11 / AP will be fully recovered in 	距回复1 AP还有 2:11 / 距AP全部回复还有 
^1 AP will recover in 2:12 / AP will be fully recovered in 	距回复1 AP还有 2:12 / 距AP全部回复还有 
^1 AP will recover in 2:13 / AP will be fully recovered in 	距回复1 AP还有 2:13 / 距AP全部回复还有 
^1 AP will recover in 2:14 / AP will be fully recovered in 	距回复1 AP还有 2:14 / 距AP全部回复还有 
^1 AP will recover in 2:15 / AP will be fully recovered in 	距回复1 AP还有 2:15 / 距AP全部回复还有 
^1 AP will recover in 2:16 / AP will be fully recovered in 	距回复1 AP还有 2:16 / 距AP全部回复还有 
^1 AP will recover in 2:17 / AP will be fully recovered in 	距回复1 AP还有 2:17 / 距AP全部回复还有 
^1 AP will recover in 2:18 / AP will be fully recovered in 	距回复1 AP还有 2:18 / 距AP全部回复还有 
^1 AP will recover in 2:19 / AP will be fully recovered in 	距回复1 AP还有 2:19 / 距AP全部回复还有 
^1 AP will recover in 2:20 / AP will be fully recovered in 	距回复1 AP还有 2:20 / 距AP全部回复还有 
^1 AP will recover in 2:21 / AP will be fully recovered in 	距回复1 AP还有 2:21 / 距AP全部回复还有 
^1 AP will recover in 2:22 / AP will be fully recovered in 	距回复1 AP还有 2:22 / 距AP全部回复还有 
^1 AP will recover in 2:23 / AP will be fully recovered in 	距回复1 AP还有 2:23 / 距AP全部回复还有 
^1 AP will recover in 2:24 / AP will be fully recovered in 	距回复1 AP还有 2:24 / 距AP全部回复还有 
^1 AP will recover in 2:25 / AP will be fully recovered in 	距回复1 AP还有 2:25 / 距AP全部回复还有 
^1 AP will recover in 2:26 / AP will be fully recovered in 	距回复1 AP还有 2:26 / 距AP全部回复还有 
^1 AP will recover in 2:27 / AP will be fully recovered in 	距回复1 AP还有 2:27 / 距AP全部回复还有 
^1 AP will recover in 2:28 / AP will be fully recovered in 	距回复1 AP还有 2:28 / 距AP全部回复还有 
^1 AP will recover in 2:29 / AP will be fully recovered in 	距回复1 AP还有 2:29 / 距AP全部回复还有 
^1 AP will recover in 2:30 / AP will be fully recovered in 	距回复1 AP还有 2:30 / 距AP全部回复还有 
^1 AP will recover in 2:31 / AP will be fully recovered in 	距回复1 AP还有 2:31 / 距AP全部回复还有 
^1 AP will recover in 2:32 / AP will be fully recovered in 	距回复1 AP还有 2:32 / 距AP全部回复还有 
^1 AP will recover in 2:33 / AP will be fully recovered in 	距回复1 AP还有 2:33 / 距AP全部回复还有 
^1 AP will recover in 2:34 / AP will be fully recovered in 	距回复1 AP还有 2:34 / 距AP全部回复还有 
^1 AP will recover in 2:35 / AP will be fully recovered in 	距回复1 AP还有 2:35 / 距AP全部回复还有 
^1 AP will recover in 2:36 / AP will be fully recovered in 	距回复1 AP还有 2:36 / 距AP全部回复还有 
^1 AP will recover in 2:37 / AP will be fully recovered in 	距回复1 AP还有 2:37 / 距AP全部回复还有 
^1 AP will recover in 2:38 / AP will be fully recovered in 	距回复1 AP还有 2:38 / 距AP全部回复还有 
^1 AP will recover in 2:39 / AP will be fully recovered in 	距回复1 AP还有 2:39 / 距AP全部回复还有 
^1 AP will recover in 2:40 / AP will be fully recovered in 	距回复1 AP还有 2:40 / 距AP全部回复还有 
^1 AP will recover in 2:41 / AP will be fully recovered in 	距回复1 AP还有 2:41 / 距AP全部回复还有 
^1 AP will recover in 2:42 / AP will be fully recovered in 	距回复1 AP还有 2:42 / 距AP全部回复还有 
^1 AP will recover in 2:43 / AP will be fully recovered in 	距回复1 AP还有 2:43 / 距AP全部回复还有 
^1 AP will recover in 2:44 / AP will be fully recovered in 	距回复1 AP还有 2:44 / 距AP全部回复还有 
^1 AP will recover in 2:45 / AP will be fully recovered in 	距回复1 AP还有 2:45 / 距AP全部回复还有 
^1 AP will recover in 2:46 / AP will be fully recovered in 	距回复1 AP还有 2:46 / 距AP全部回复还有 
^1 AP will recover in 2:47 / AP will be fully recovered in 	距回复1 AP还有 2:47 / 距AP全部回复还有 
^1 AP will recover in 2:48 / AP will be fully recovered in 	距回复1 AP还有 2:48 / 距AP全部回复还有 
^1 AP will recover in 2:49 / AP will be fully recovered in 	距回复1 AP还有 2:49 / 距AP全部回复还有 
^1 AP will recover in 2:50 / AP will be fully recovered in 	距回复1 AP还有 2:50 / 距AP全部回复还有 
^1 AP will recover in 2:51 / AP will be fully recovered in 	距回复1 AP还有 2:51 / 距AP全部回复还有 
^1 AP will recover in 2:52 / AP will be fully recovered in 	距回复1 AP还有 2:52 / 距AP全部回复还有 
^1 AP will recover in 2:53 / AP will be fully recovered in 	距回复1 AP还有 2:53 / 距AP全部回复还有 
^1 AP will recover in 2:54 / AP will be fully recovered in 	距回复1 AP还有 2:54 / 距AP全部回复还有 
^1 AP will recover in 2:55 / AP will be fully recovered in 	距回复1 AP还有 2:55 / 距AP全部回复还有 
^1 AP will recover in 2:56 / AP will be fully recovered in 	距回复1 AP还有 2:56 / 距AP全部回复还有 
^1 AP will recover in 2:57 / AP will be fully recovered in 	距回复1 AP还有 2:57 / 距AP全部回复还有 
^1 AP will recover in 2:58 / AP will be fully recovered in 	距回复1 AP还有 2:58 / 距AP全部回复还有 
^1 AP will recover in 2:59 / AP will be fully recovered in 	距回复1 AP还有 2:59 / 距AP全部回复还有 
^1 AP will recover in 3:00 / AP will be fully recovered in 	距回复1 AP还有 3:00 / 距AP全部回复还有 
^1 AP will recover in 3:01 / AP will be fully recovered in 	距回复1 AP还有 3:01 / 距AP全部回复还有 
^1 AP will recover in 3:02 / AP will be fully recovered in 	距回复1 AP还有 3:02 / 距AP全部回复还有 
^1 AP will recover in 3:03 / AP will be fully recovered in 	距回复1 AP还有 3:03 / 距AP全部回复还有 
^1 AP will recover in 3:04 / AP will be fully recovered in 	距回复1 AP还有 3:04 / 距AP全部回复还有 
^1 AP will recover in 3:05 / AP will be fully recovered in 	距回复1 AP还有 3:05 / 距AP全部回复还有 
^1 AP will recover in 3:06 / AP will be fully recovered in 	距回复1 AP还有 3:06 / 距AP全部回复还有 
^1 AP will recover in 3:07 / AP will be fully recovered in 	距回复1 AP还有 3:07 / 距AP全部回复还有 
^1 AP will recover in 3:08 / AP will be fully recovered in 	距回复1 AP还有 3:08 / 距AP全部回复还有 
^1 AP will recover in 3:09 / AP will be fully recovered in 	距回复1 AP还有 3:09 / 距AP全部回复还有 
^1 AP will recover in 3:10 / AP will be fully recovered in 	距回复1 AP还有 3:10 / 距AP全部回复还有 
^1 AP will recover in 3:11 / AP will be fully recovered in 	距回复1 AP还有 3:11 / 距AP全部回复还有 
^1 AP will recover in 3:12 / AP will be fully recovered in 	距回复1 AP还有 3:12 / 距AP全部回复还有 
^1 AP will recover in 3:13 / AP will be fully recovered in 	距回复1 AP还有 3:13 / 距AP全部回复还有 
^1 AP will recover in 3:14 / AP will be fully recovered in 	距回复1 AP还有 3:14 / 距AP全部回复还有 
^1 AP will recover in 3:15 / AP will be fully recovered in 	距回复1 AP还有 3:15 / 距AP全部回复还有 
^1 AP will recover in 3:16 / AP will be fully recovered in 	距回复1 AP还有 3:16 / 距AP全部回复还有 
^1 AP will recover in 3:17 / AP will be fully recovered in 	距回复1 AP还有 3:17 / 距AP全部回复还有 
^1 AP will recover in 3:18 / AP will be fully recovered in 	距回复1 AP还有 3:18 / 距AP全部回复还有 
^1 AP will recover in 3:19 / AP will be fully recovered in 	距回复1 AP还有 3:19 / 距AP全部回复还有 
^1 AP will recover in 3:20 / AP will be fully recovered in 	距回复1 AP还有 3:20 / 距AP全部回复还有 
^1 AP will recover in 3:21 / AP will be fully recovered in 	距回复1 AP还有 3:21 / 距AP全部回复还有 
^1 AP will recover in 3:22 / AP will be fully recovered in 	距回复1 AP还有 3:22 / 距AP全部回复还有 
^1 AP will recover in 3:23 / AP will be fully recovered in 	距回复1 AP还有 3:23 / 距AP全部回复还有 
^1 AP will recover in 3:24 / AP will be fully recovered in 	距回复1 AP还有 3:24 / 距AP全部回复还有 
^1 AP will recover in 3:25 / AP will be fully recovered in 	距回复1 AP还有 3:25 / 距AP全部回复还有 
^1 AP will recover in 3:26 / AP will be fully recovered in 	距回复1 AP还有 3:26 / 距AP全部回复还有 
^1 AP will recover in 3:27 / AP will be fully recovered in 	距回复1 AP还有 3:27 / 距AP全部回复还有 
^1 AP will recover in 3:28 / AP will be fully recovered in 	距回复1 AP还有 3:28 / 距AP全部回复还有 
^1 AP will recover in 3:29 / AP will be fully recovered in 	距回复1 AP还有 3:29 / 距AP全部回复还有 
^1 AP will recover in 3:30 / AP will be fully recovered in 	距回复1 AP还有 3:30 / 距AP全部回复还有 
^1 AP will recover in 3:31 / AP will be fully recovered in 	距回复1 AP还有 3:31 / 距AP全部回复还有 
^1 AP will recover in 3:32 / AP will be fully recovered in 	距回复1 AP还有 3:32 / 距AP全部回复还有 
^1 AP will recover in 3:33 / AP will be fully recovered in 	距回复1 AP还有 3:33 / 距AP全部回复还有 
^1 AP will recover in 3:34 / AP will be fully recovered in 	距回复1 AP还有 3:34 / 距AP全部回复还有 
^1 AP will recover in 3:35 / AP will be fully recovered in 	距回复1 AP还有 3:35 / 距AP全部回复还有 
^1 AP will recover in 3:36 / AP will be fully recovered in 	距回复1 AP还有 3:36 / 距AP全部回复还有 
^1 AP will recover in 3:37 / AP will be fully recovered in 	距回复1 AP还有 3:37 / 距AP全部回复还有 
^1 AP will recover in 3:38 / AP will be fully recovered in 	距回复1 AP还有 3:38 / 距AP全部回复还有 
^1 AP will recover in 3:39 / AP will be fully recovered in 	距回复1 AP还有 3:39 / 距AP全部回复还有 
^1 AP will recover in 3:40 / AP will be fully recovered in 	距回复1 AP还有 3:40 / 距AP全部回复还有 
^1 AP will recover in 3:41 / AP will be fully recovered in 	距回复1 AP还有 3:41 / 距AP全部回复还有 
^1 AP will recover in 3:42 / AP will be fully recovered in 	距回复1 AP还有 3:42 / 距AP全部回复还有 
^1 AP will recover in 3:43 / AP will be fully recovered in 	距回复1 AP还有 3:43 / 距AP全部回复还有 
^1 AP will recover in 3:44 / AP will be fully recovered in 	距回复1 AP还有 3:44 / 距AP全部回复还有 
^1 AP will recover in 3:45 / AP will be fully recovered in 	距回复1 AP还有 3:45 / 距AP全部回复还有 
^1 AP will recover in 3:46 / AP will be fully recovered in 	距回复1 AP还有 3:46 / 距AP全部回复还有 
^1 AP will recover in 3:47 / AP will be fully recovered in 	距回复1 AP还有 3:47 / 距AP全部回复还有 
^1 AP will recover in 3:48 / AP will be fully recovered in 	距回复1 AP还有 3:48 / 距AP全部回复还有 
^1 AP will recover in 3:49 / AP will be fully recovered in 	距回复1 AP还有 3:49 / 距AP全部回复还有 
^1 AP will recover in 3:50 / AP will be fully recovered in 	距回复1 AP还有 3:50 / 距AP全部回复还有 
^1 AP will recover in 3:51 / AP will be fully recovered in 	距回复1 AP还有 3:51 / 距AP全部回复还有 
^1 AP will recover in 3:52 / AP will be fully recovered in 	距回复1 AP还有 3:52 / 距AP全部回复还有 
^1 AP will recover in 3:53 / AP will be fully recovered in 	距回复1 AP还有 3:53 / 距AP全部回复还有 
^1 AP will recover in 3:54 / AP will be fully recovered in 	距回复1 AP还有 3:54 / 距AP全部回复还有 
^1 AP will recover in 3:55 / AP will be fully recovered in 	距回复1 AP还有 3:55 / 距AP全部回复还有 
^1 AP will recover in 3:56 / AP will be fully recovered in 	距回复1 AP还有 3:56 / 距AP全部回复还有 
^1 AP will recover in 3:57 / AP will be fully recovered in 	距回复1 AP还有 3:57 / 距AP全部回复还有 
^1 AP will recover in 3:58 / AP will be fully recovered in 	距回复1 AP还有 3:58 / 距AP全部回复还有 
^1 AP will recover in 3:59 / AP will be fully recovered in 	距回复1 AP还有 3:59 / 距AP全部回复还有 
^1 AP will recover in 4:00 / AP will be fully recovered in 	距回复1 AP还有 4:00 / 距AP全部回复还有 
^1 AP will recover in 4:01 / AP will be fully recovered in 	距回复1 AP还有 4:01 / 距AP全部回复还有 
^1 AP will recover in 4:02 / AP will be fully recovered in 	距回复1 AP还有 4:02 / 距AP全部回复还有 
^1 AP will recover in 4:03 / AP will be fully recovered in 	距回复1 AP还有 4:03 / 距AP全部回复还有 
^1 AP will recover in 4:04 / AP will be fully recovered in 	距回复1 AP还有 4:04 / 距AP全部回复还有 
^1 AP will recover in 4:05 / AP will be fully recovered in 	距回复1 AP还有 4:05 / 距AP全部回复还有 
^1 AP will recover in 4:06 / AP will be fully recovered in 	距回复1 AP还有 4:06 / 距AP全部回复还有 
^1 AP will recover in 4:07 / AP will be fully recovered in 	距回复1 AP还有 4:07 / 距AP全部回复还有 
^1 AP will recover in 4:08 / AP will be fully recovered in 	距回复1 AP还有 4:08 / 距AP全部回复还有 
^1 AP will recover in 4:09 / AP will be fully recovered in 	距回复1 AP还有 4:09 / 距AP全部回复还有 
^1 AP will recover in 4:10 / AP will be fully recovered in 	距回复1 AP还有 4:10 / 距AP全部回复还有 
^1 AP will recover in 4:11 / AP will be fully recovered in 	距回复1 AP还有 4:11 / 距AP全部回复还有 
^1 AP will recover in 4:12 / AP will be fully recovered in 	距回复1 AP还有 4:12 / 距AP全部回复还有 
^1 AP will recover in 4:13 / AP will be fully recovered in 	距回复1 AP还有 4:13 / 距AP全部回复还有 
^1 AP will recover in 4:14 / AP will be fully recovered in 	距回复1 AP还有 4:14 / 距AP全部回复还有 
^1 AP will recover in 4:15 / AP will be fully recovered in 	距回复1 AP还有 4:15 / 距AP全部回复还有 
^1 AP will recover in 4:16 / AP will be fully recovered in 	距回复1 AP还有 4:16 / 距AP全部回复还有 
^1 AP will recover in 4:17 / AP will be fully recovered in 	距回复1 AP还有 4:17 / 距AP全部回复还有 
^1 AP will recover in 4:18 / AP will be fully recovered in 	距回复1 AP还有 4:18 / 距AP全部回复还有 
^1 AP will recover in 4:19 / AP will be fully recovered in 	距回复1 AP还有 4:19 / 距AP全部回复还有 
^1 AP will recover in 4:20 / AP will be fully recovered in 	距回复1 AP还有 4:20 / 距AP全部回复还有 
^1 AP will recover in 4:21 / AP will be fully recovered in 	距回复1 AP还有 4:21 / 距AP全部回复还有 
^1 AP will recover in 4:22 / AP will be fully recovered in 	距回复1 AP还有 4:22 / 距AP全部回复还有 
^1 AP will recover in 4:23 / AP will be fully recovered in 	距回复1 AP还有 4:23 / 距AP全部回复还有 
^1 AP will recover in 4:24 / AP will be fully recovered in 	距回复1 AP还有 4:24 / 距AP全部回复还有 
^1 AP will recover in 4:25 / AP will be fully recovered in 	距回复1 AP还有 4:25 / 距AP全部回复还有 
^1 AP will recover in 4:26 / AP will be fully recovered in 	距回复1 AP还有 4:26 / 距AP全部回复还有 
^1 AP will recover in 4:27 / AP will be fully recovered in 	距回复1 AP还有 4:27 / 距AP全部回复还有 
^1 AP will recover in 4:28 / AP will be fully recovered in 	距回复1 AP还有 4:28 / 距AP全部回复还有 
^1 AP will recover in 4:29 / AP will be fully recovered in 	距回复1 AP还有 4:29 / 距AP全部回复还有 
^1 AP will recover in 4:30 / AP will be fully recovered in 	距回复1 AP还有 4:30 / 距AP全部回复还有 
^1 AP will recover in 4:31 / AP will be fully recovered in 	距回复1 AP还有 4:31 / 距AP全部回复还有 
^1 AP will recover in 4:32 / AP will be fully recovered in 	距回复1 AP还有 4:32 / 距AP全部回复还有 
^1 AP will recover in 4:33 / AP will be fully recovered in 	距回复1 AP还有 4:33 / 距AP全部回复还有 
^1 AP will recover in 4:34 / AP will be fully recovered in 	距回复1 AP还有 4:34 / 距AP全部回复还有 
^1 AP will recover in 4:35 / AP will be fully recovered in 	距回复1 AP还有 4:35 / 距AP全部回复还有 
^1 AP will recover in 4:36 / AP will be fully recovered in 	距回复1 AP还有 4:36 / 距AP全部回复还有 
^1 AP will recover in 4:37 / AP will be fully recovered in 	距回复1 AP还有 4:37 / 距AP全部回复还有 
^1 AP will recover in 4:38 / AP will be fully recovered in 	距回复1 AP还有 4:38 / 距AP全部回复还有 
^1 AP will recover in 4:39 / AP will be fully recovered in 	距回复1 AP还有 4:39 / 距AP全部回复还有 
^1 AP will recover in 4:40 / AP will be fully recovered in 	距回复1 AP还有 4:40 / 距AP全部回复还有 
^1 AP will recover in 4:41 / AP will be fully recovered in 	距回复1 AP还有 4:41 / 距AP全部回复还有 
^1 AP will recover in 4:42 / AP will be fully recovered in 	距回复1 AP还有 4:42 / 距AP全部回复还有 
^1 AP will recover in 4:43 / AP will be fully recovered in 	距回复1 AP还有 4:43 / 距AP全部回复还有 
^1 AP will recover in 4:44 / AP will be fully recovered in 	距回复1 AP还有 4:44 / 距AP全部回复还有 
^1 AP will recover in 4:45 / AP will be fully recovered in 	距回复1 AP还有 4:45 / 距AP全部回复还有 
^1 AP will recover in 4:46 / AP will be fully recovered in 	距回复1 AP还有 4:46 / 距AP全部回复还有 
^1 AP will recover in 4:47 / AP will be fully recovered in 	距回复1 AP还有 4:47 / 距AP全部回复还有 
^1 AP will recover in 4:48 / AP will be fully recovered in 	距回复1 AP还有 4:48 / 距AP全部回复还有 
^1 AP will recover in 4:49 / AP will be fully recovered in 	距回复1 AP还有 4:49 / 距AP全部回复还有 
^1 AP will recover in 4:50 / AP will be fully recovered in 	距回复1 AP还有 4:50 / 距AP全部回复还有 
^1 AP will recover in 4:51 / AP will be fully recovered in 	距回复1 AP还有 4:51 / 距AP全部回复还有 
^1 AP will recover in 4:52 / AP will be fully recovered in 	距回复1 AP还有 4:52 / 距AP全部回复还有 
^1 AP will recover in 4:53 / AP will be fully recovered in 	距回复1 AP还有 4:53 / 距AP全部回复还有 
^1 AP will recover in 4:54 / AP will be fully recovered in 	距回复1 AP还有 4:54 / 距AP全部回复还有 
^1 AP will recover in 4:55 / AP will be fully recovered in 	距回复1 AP还有 4:55 / 距AP全部回复还有 
^1 AP will recover in 4:56 / AP will be fully recovered in 	距回复1 AP还有 4:56 / 距AP全部回复还有 
^1 AP will recover in 4:57 / AP will be fully recovered in 	距回复1 AP还有 4:57 / 距AP全部回复还有 
^1 AP will recover in 4:58 / AP will be fully recovered in 	距回复1 AP还有 4:58 / 距AP全部回复还有 
^1 AP will recover in 4:59 / AP will be fully recovered in 	距回复1 AP还有 4:59 / 距AP全部回复还有 
^1 AP will recover in 5:00 / AP will be fully recovered in 	距回复1 AP还有 5:00 / 距AP全部回复还有 
